match_key,bet_type_name,bet_type_id,outcome_short_name,odds
f582c45398a47785,1X2,30083,1,3.15
f582c45398a47785,1X2,30083,X,3.09
f582c45398a47785,1X2,30083,2,2.39
f582c45398a47785,Mi-tps 1X2,30084,1,4.32
f582c45398a47785,Mi-tps 1X2,30084,X,1.8
f582c45398a47785,Mi-tps 1X2,30084,2,3.41
f582c45398a47785,Double Chance,30085,1X,1.53
f582c45398a47785,Double Chance,30085,X2,1.32
f582c45398a47785,Double Chance,30085,12,1.33
f582c45398a47785,Mi-tps DC,30086,1X,1.27
f582c45398a47785,Mi-tps DC,30086,X2,1.18
f582c45398a47785,Mi-tps DC,30086,12,1.91
f582c45398a47785,Score exact,30081,0-0,8.3
f582c45398a47785,Score exact,30081,0-1,8.45
f582c45398a47785,Score exact,30081,0-2,12.55
f582c45398a47785,Score exact,30081,0-3,25.47
f582c45398a47785,Score exact,30081,0-4,82.89
f582c45398a47785,Score exact,30081,0-5,100.0
f582c45398a47785,Score exact,30081,0-6,100.0
f582c45398a47785,Score exact,30081,1-0,9.99
f582c45398a47785,Score exact,30081,1-1,6.22
f582c45398a47785,Score exact,30081,1-2,9.35
f582c45398a47785,Score exact,30081,1-3,22.92
f582c45398a47785,Score exact,30081,1-4,79.23
f582c45398a47785,Score exact,30081,1-5,100.0
f582c45398a47785,Score exact,30081,2-0,17.72
f582c45398a47785,Score exact,30081,2-1,11.15
f582c45398a47785,Score exact,30081,2-2,17.39
f582c45398a47785,Score exact,30081,2-3,47.27
f582c45398a47785,Score exact,30081,2-4,100.0
f582c45398a47785,Score exact,30081,3-0,43.09
f582c45398a47785,Score exact,30081,3-1,32.72
f582c45398a47785,Score exact,30081,3-2,56.66
f582c45398a47785,Score exact,30081,3-3,100.0
f582c45398a47785,Score exact,30081,4-0,100.0
f582c45398a47785,Score exact,30081,4-1,100.0
f582c45398a47785,Score exact,30081,4-2,100.0
f582c45398a47785,Score exact,30081,5-0,100.0
f582c45398a47785,Score exact,30081,5-1,100.0
f582c45398a47785,Score exact,30081,6-0,100.0
f582c45398a47785,Mi-tps CS,30082,0-0,2.28
f582c45398a47785,Mi-tps CS,30082,0-1,5.3
f582c45398a47785,Mi-tps CS,30082,0-2,14.48
f582c45398a47785,Mi-tps CS,30082,0-3,59.38
f582c45398a47785,Mi-tps CS,30082,1-0,6.33
f582c45398a47785,Mi-tps CS,30082,1-1,6.53
f582c45398a47785,Mi-tps CS,30082,1-2,26.78
f582c45398a47785,Mi-tps CS,30082,2-0,20.95
f582c45398a47785,Mi-tps CS,30082,2-1,32.44
f582c45398a47785,Mi-tps CS,30082,3-0,100.0
f582c45398a47785,+/-,30087,> 0.5,1.06
f582c45398a47785,+/-,30087,< 0.5,8.77
f582c45398a47785,+/-,30087,> 1.5,1.35
f582c45398a47785,+/-,30087,< 1.5,3.12
f582c45398a47785,+/-,30087,> 2.5,2.18
f582c45398a47785,+/-,30087,< 2.5,1.66
f582c45398a47785,+/-,30087,> 3.5,4.69
f582c45398a47785,+/-,30087,< 3.5,1.18
f582c45398a47785,HT/FT,30089,1/1,5.61
f582c45398a47785,HT/FT,30089,1/X,23.74
f582c45398a47785,HT/FT,30089,1/2,51.49
f582c45398a47785,HT/FT,30089,X/1,7.08
f582c45398a47785,HT/FT,30089,X/X,3.88
f582c45398a47785,HT/FT,30089,X/2,5.63
f582c45398a47785,HT/FT,30089,2/1,62.74
f582c45398a47785,HT/FT,30089,2/X,23.34
f582c45398a47785,HT/FT,30089,2/2,4.08
f582c45398a47785,Total de buts,30090,0,8.3
f582c45398a47785,Total de buts,30090,1,4.58
f582c45398a47785,Total de buts,30090,2,3.37
f582c45398a47785,Total de buts,30090,3,3.86
f582c45398a47785,Total de buts,30090,4,6.68
f582c45398a47785,Total de buts,30090,5,15.92
f582c45398a47785,Total de buts,30090,6,79.76
f582c45398a47785,G/NG,30091,Oui,1.89
f582c45398a47785,G/NG,30091,Non,1.89
f582c45398a47785,Les deux équipes marquent / 1ère mi temps,30092,Oui,4.9
f582c45398a47785,Les deux équipes marquent / 1ère mi temps,30092,Non,1.17
f582c45398a47785,1X2 & Total,30093,1 / > 1.5,4.33
