match_key,bet_type_name,bet_type_id,outcome_short_name,odds
0ff0a8c0e5c5a2a1,1X2,30083,1,1.45
0ff0a8c0e5c5a2a1,1X2,30083,X,4.84
0ff0a8c0e5c5a2a1,1X2,30083,2,6.15
0ff0a8c0e5c5a2a1,Mi-tps 1X2,30084,1,1.99
0ff0a8c0e5c5a2a1,Mi-tps 1X2,30084,X,2.42
0ff0a8c0e5c5a2a1,Mi-tps 1X2,30084,2,6.1
0ff0a8c0e5c5a2a1,Double Chance,30085,1X,1.09
0ff0a8c0e5c5a2a1,Double Chance,30085,X2,2.66
0ff0a8c0e5c5a2a1,Double Chance,30085,12,1.15
0ff0a8c0e5c5a2a1,Mi-tps DC,30086,1X,1.09
0ff0a8c0e5c5a2a1,Mi-tps DC,30086,X2,1.73
0ff0a8c0e5c5a2a1,Mi-tps DC,30086,12,1.5
0ff0a8c0e5c5a2a1,Score exact,30081,0-0,23.38
0ff0a8c0e5c5a2a1,Score exact,30081,0-1,27.88
0ff0a8c0e5c5a2a1,Score exact,30081,0-2,49.13
0ff0a8c0e5c5a2a1,Score exact,30081,0-3,100.0
0ff0a8c0e5c5a2a1,Score exact,30081,0-4,100.0
0ff0a8c0e5c5a2a1,Score exact,30081,0-5,100.0
0ff0a8c0e5c5a2a1,Score exact,30081,0-6,100.0
0ff0a8c0e5c5a2a1,Score exact,30081,1-0,13.77
0ff0a8c0e5c5a2a1,Score exact,30081,1-1,10.07
0ff0a8c0e5c5a2a1,Score exact,30081,1-2,17.88
0ff0a8c0e5c5a2a1,Score exact,30081,1-3,51.45
0ff0a8c0e5c5a2a1,Score exact,30081,1-4,100.0
0ff0a8c0e5c5a2a1,Score exact,30081,1-5,100.0
0ff0a8c0e5c5a2a1,Score exact,30081,2-0,10.41
0ff0a8c0e5c5a2a1,Score exact,30081,2-1,7.89
0ff0a8c0e5c5a2a1,Score exact,30081,2-2,14.84
0ff0a8c0e5c5a2a1,Score exact,30081,2-3,47.67
0ff0a8c0e5c5a2a1,Score exact,30081,2-4,100.0
0ff0a8c0e5c5a2a1,Score exact,30081,3-0,10.55
0ff0a8c0e5c5a2a1,Score exact,30081,3-1,9.81
0ff0a8c0e5c5a2a1,Score exact,30081,3-2,20.12
0ff0a8c0e5c5a2a1,Score exact,30081,3-3,100.0
0ff0a8c0e5c5a2a1,Score exact,30081,4-0,17.53
0ff0a8c0e5c5a2a1,Score exact,30081,4-1,16.56
0ff0a8c0e5c5a2a1,Score exact,30081,4-2,61.01
0ff0a8c0e5c5a2a1,Score exact,30081,5-0,35.28
0ff0a8c0e5c5a2a1,Score exact,30081,5-1,56.94
0ff0a8c0e5c5a2a1,Score exact,30081,6-0,100.0
0ff0a8c0e5c5a2a1,Mi-tps CS,30082,0-0,3.78
0ff0a8c0e5c5a2a1,Mi-tps CS,30082,0-1,10.05
0ff0a8c0e5c5a2a1,Mi-tps CS,30082,0-2,31.83
0ff0a8c0e5c5a2a1,Mi-tps CS,30082,0-3,100.0
0ff0a8c0e5c5a2a1,Mi-tps CS,30082,1-0,4.81
0ff0a8c0e5c5a2a1,Mi-tps CS,30082,1-1,5.69
