match_key,bet_type_name,bet_type_id,outcome_short_name,odds
12e063a65fb33775,1X2,30083,1,1.14
12e063a65fb33775,1X2,30083,X,8.04
12e063a65fb33775,1X2,30083,2,16.52
12e063a65fb33775,Mi-tps 1X2,30084,1,1.48
12e063a65fb33775,Mi-tps 1X2,30084,X,3.03
12e063a65fb33775,Mi-tps 1X2,30084,2,13.72
12e063a65fb33775,Double Chance,30085,1X,0.98
12e063a65fb33775,Double Chance,30085,X2,5.31
12e063a65fb33775,Double Chance,30085,12,1.05
12e063a65fb33775,Mi-tps DC,30086,1X,0.99
12e063a65fb33775,Mi-tps DC,30086,X2,2.48
12e063a65fb33775,Mi-tps DC,30086,12,1.33
12e063a65fb33775,Score exact,30081,0-0,26.94
12e063a65fb33775,Score exact,30081,0-1,49.33
12e063a65fb33775,Score exact,30081,0-2,100.0
12e063a65fb33775,Score exact,30081,0-3,100.0
12e063a65fb33775,Score exact,30081,0-4,100.0
12e063a65fb33775,Score exact,30081,0-5,100.0
12e063a65fb33775,Score exact,30081,0-6,100.0
12e063a65fb33775,Score exact,30081,1-0,14.87
12e063a65fb33775,Score exact,30081,1-1,16.79
12e063a65fb33775,Score exact,30081,1-2,46.31
12e063a65fb33775,Score exact,30081,1-3,100.0
12e063a65fb33775,Score exact,30081,1-4,100.0
12e063a65fb33775,Score exact,30081,1-5,100.0
12e063a65fb33775,Score exact,30081,2-0,8.59
12e063a65fb33775,Score exact,30081,2-1,10.38
12e063a65fb33775,Score exact,30081,2-2,31.86
12e063a65fb33775,Score exact,30081,2-3,100.0
12e063a65fb33775,Score exact,30081,2-4,100.0
12e063a65fb33775,Score exact,30081,3-0,6.53
12e063a65fb33775,Score exact,30081,3-1,10.12
12e063a65fb33775,Score exact,30081,3-2,33.02
12e063a65fb33775,Score exact,30081,3-3,100.0
12e063a65fb33775,Score exact,30081,4-0,8.53
12e063a65fb33775,Score exact,30081,4-1,12.56
12e063a65fb33775,Score exact,30081,4-2,72.87
12e063a65fb33775,Score exact,30081,5-0,11.96
12e063a65fb33775,Score exact,30081,5-1,30.08
12e063a65fb33775,Score exact,30081,6-0,28.64
12e063a65fb33775,Mi-tps CS,30082,0-0,4.16
