match_key,bet_type_name,bet_type_id,outcome_short_name,odds
57380a81eda2e40b,1X2,30083,1,4.05
57380a81eda2e40b,1X2,30083,X,1.6
57380a81eda2e40b,1X2,30083,2,5.28
57380a81eda2e40b,Mi-tps 1X2,30084,1,7.39
57380a81eda2e40b,Mi-tps 1X2,30084,X,1.19
57380a81eda2e40b,Mi-tps 1X2,30084,2,9.85
57380a81eda2e40b,Double Chance,30085,1X,1.13
57380a81eda2e40b,Double Chance,30085,X2,1.21
57380a81eda2e40b,Double Chance,30085,12,2.25
57380a81eda2e40b,Mi-tps DC,30086,1X,1.02
57380a81eda2e40b,Mi-tps DC,30086,X2,1.06
57380a81eda2e40b,Mi-tps DC,30086,12,4.22
57380a81eda2e40b,Score exact,30081,0-0,1.75
57380a81eda2e40b,Score exact,30081,0-1,6.54
57380a81eda2e40b,Score exact,30081,0-2,37.1
57380a81eda2e40b,Score exact,30081,0-3,100.0
57380a81eda2e40b,Score exact,30081,0-4,100.0
57380a81eda2e40b,Score exact,30081,0-5,100.0
57380a81eda2e40b,Score exact,30081,0-6,100.0
57380a81eda2e40b,Score exact,30081,1-0,5.25
57380a81eda2e40b,Score exact,30081,1-1,12.0
57380a81eda2e40b,Score exact,30081,1-2,68.61
57380a81eda2e40b,Score exact,30081,1-3,100.0
57380a81eda2e40b,Score exact,30081,1-4,100.0
57380a81eda2e40b,Score exact,30081,1-5,100.0
57380a81eda2e40b,Score exact,30081,2-0,23.95
57380a81eda2e40b,Score exact,30081,2-1,54.99
57380a81eda2e40b,Score exact,30081,2-2,100.0
57380a81eda2e40b,Score exact,30081,2-3,100.0
57380a81eda2e40b,Score exact,30081,2-4,100.0
57380a81eda2e40b,Score exact,30081,3-0,100.0
57380a81eda2e40b,Score exact,30081,3-1,100.0
57380a81eda2e40b,Score exact,30081,3-2,100.0
57380a81eda2e40b,Score exact,30081,3-3,100.0
57380a81eda2e40b,Score exact,30081,4-0,100.0
57380a81eda2e40b,Score exact,30081,4-1,100.0
57380a81eda2e40b,Score exact,30081,4-2,100.0
57380a81eda2e40b,Score exact,30081,5-0,100.0
57380a81eda2e40b,Score exact,30081,5-1,100.0
57380a81eda2e40b,Score exact,30081,6-0,100.0
57380a81eda2e40b,Mi-tps CS,30082,0-0,1.15
57380a81eda2e40b,Mi-tps CS,30082,0-1,10.32
57380a81eda2e40b,Mi-tps CS,30082,0-2,100.0
57380a81eda2e40b,Mi-tps CS,30082,0-3,100.0
57380a81eda2e40b,Mi-tps CS,30082,1-0,7.95
57380a81eda2e40b,Mi-tps CS,30082,1-1,31.6
57380a81eda2e40b,Mi-tps CS,30082,1-2,100.0
57380a81eda2e40b,Mi-tps CS,30082,2-0,67.6
57380a81eda2e40b,Mi-tps CS,30082,2-1,100.0
57380a81eda2e40b,Mi-tps CS,30082,3-0,100.0
57380a81eda2e40b,+/-,30087,> 0.5,1.93
57380a81eda2e40b,+/-,30087,< 0.5,1.85
57380a81eda2e40b,+/-,30087,> 1.5,5.18
57380a81eda2e40b,+/-,30087,< 1.5,1.15
57380a81eda2e40b,+/-,30087,> 2.5,20.32
57380a81eda2e40b,+/-,30087,< 2.5,0.99
57380a81eda2e40b,+/-,30087,> 3.5,100.0
57380a81eda2e40b,+/-,30087,< 3.5,0.95
57380a81eda2e40b,HT/FT,30089,1/1,8.02
57380a81eda2e40b,HT/FT,30089,1/X,72.33
57380a81eda2e40b,HT/FT,30089,1/2,100.0
57380a81eda2e40b,HT/FT,30089,X/1,7.47
57380a81eda2e40b,HT/FT,30089,X/X,1.58
57380a81eda2e40b,HT/FT,30089,X/2,9.25
57380a81eda2e40b,HT/FT,30089,2/1,100.0
57380a81eda2e40b,HT/FT,30089,2/X,77.84
57380a81eda2e40b,HT/FT,30089,2/2,11.07
57380a81eda2e40b,Total de buts,30090,0,1.75
57380a81eda2e40b,Total de buts,30090,1,2.91
57380a81eda2e40b,Total de buts,30090,2,6.58
57380a81eda2e40b,Total de buts,30090,3,23.33
57380a81eda2e40b,Total de buts,30090,4,100.0
57380a81eda2e40b,Total de buts,30090,5,100.0
57380a81eda2e40b,Total de buts,30090,6,100.0
57380a81eda2e40b,G/NG,30091,Oui,8.5
57380a81eda2e40b,G/NG,30091,Non,1.06
57380a81eda2e40b,Les deux équipes marquent / 1ère mi temps,30092,Oui,30.11
