match_key,season_id,round_number,expected_start,home_team,away_team,home_logo_url,away_logo_url,final_score,home_score,away_score,half_time_score,goal_count,had_odds,collected_at
99fc9a43d1bba5b8,164894,1,2026-09-09T08:38:30Z,Santa Clara,Estoril,https://storage-prod.sporty-tech.net/virtual/teams/Santa%20Clara.png,https://storage-prod.sporty-tech.net/virtual/teams/Estoril.png,4:1,4,1,1:1,5,True,2026-09-09T08:40:57.479369+00:00
3007a9ddbe89b1fa,164894,1,2026-09-09T08:38:30Z,Tondela,Arouca,https://storage-prod.sporty-tech.net/virtual/teams/Tondela.png,https://storage-prod.sporty-tech.net/virtual/teams/Arouca.png,2:0,2,0,1:0,2,True,2026-09-09T08:40:57.479369+00:00
19c6a66483c2f030,164894,1,2026-09-09T08:38:30Z,Casa Pia,Porto,https://storage-prod.sporty-tech.net/virtual/teams/Casa%20Pia.png,https://storage-prod.sporty-tech.net/virtual/teams/Porto.png,0:1,0,1,0:0,1,True,2026-09-09T08:40:57.479369+00:00
7aaa315f633cc593,164894,1,2026-09-09T08:38:30Z,Lisboa Green,Guimaraes,https://storage-prod.sporty-tech.net/virtual/teams/Lisboa%20Green.png,https://storage-prod.sporty-tech.net/virtual/teams/Guimaraes.png,5:0,5,0,2:0,5,True,2026-09-09T08:40:57.479369+00:00
bede723f16c32363,164894,1,2026-09-09T08:38:30Z,Braga,Gil Vicente,https://storage-prod.sporty-tech.net/virtual/teams/Braga.png,https://storage-prod.sporty-tech.net/virtual/teams/Gil%20Vicente.png,1:1,1,1,0:0,2,True,2026-09-09T08:40:57.479369+00:00
a10da62f9ede7d36,164894,1,2026-09-09T08:38:30Z,AFS,Alverca,https://storage-prod.sporty-tech.net/virtual/teams/AFS.png,https://storage-prod.sporty-tech.net/virtual/teams/Alverca.png,0:3,0,3,0:2,3,True,2026-09-09T08:40:57.479369+00:00
8c85c79e1ec7397a,164894,1,2026-09-09T08:38:30Z,Estrela,Lisboa Red,https://storage-prod.sporty-tech.net/virtual/teams/Estrela.png,https://storage-prod.sporty-tech.net/virtual/teams/Lisboa%20Red.png,2:2,2,2,1:2,4,True,2026-09-09T08:40:57.479369+00:00
1c30dd003c901d6d,164894,1,2026-09-09T08:38:30Z,Famalicão,Moreirense,https://storage-prod.sporty-tech.net/virtual/teams/Famalic%C3%A3o.png,https://storage-prod.sporty-tech.net/virtual/teams/Moreirense.png,0:0,0,0,0:0,0,True,2026-09-09T08:40:57.479369+00:00
24f10b3a8f2e76e9,164894,1,2026-09-09T08:38:30Z,Rio Ave,Nacional,https://storage-prod.sporty-tech.net/virtual/teams/Rio%20Ave.png,https://storage-prod.sporty-tech.net/virtual/teams/Nacional.png,2:0,2,0,1:0,2,True,2026-09-09T08:40:57.479369+00:00
2206a22d5550bc17,164894,2,2026-09-09T08:40:30Z,Rio Ave,Braga,https://storage-prod.sporty-tech.net/virtual/teams/Rio%20Ave.png,https://storage-prod.sporty-tech.net/virtual/teams/Braga.png,3:0,3,0,1:0,3,True,2026-09-09T08:45:57.517628+00:00
048608244230a0c4,164894,2,2026-09-09T08:40:30Z,Estoril,Casa Pia,https://storage-prod.sporty-tech.net/virtual/teams/Estoril.png,https://storage-prod.sporty-tech.net/virtual/teams/Casa%20Pia.png,3:2,3,2,0:2,5,True,2026-09-09T08:45:57.517628+00:00
26ecc894d89f56e7,164894,2,2026-09-09T08:40:30Z,Arouca,Famalicão,https://storage-prod.sporty-tech.net/virtual/teams/Arouca.png,https://storage-prod.sporty-tech.net/virtual/teams/Famalic%C3%A3o.png,2:1,2,1,0:0,3,True,2026-09-09T08:45:57.517628+00:00
8db23ac23c031cb4,164894,2,2026-09-09T08:40:30Z,Porto,Estrela,https://storage-prod.sporty-tech.net/virtual/teams/Porto.png,https://storage-prod.sporty-tech.net/virtual/teams/Estrela.png,3:0,3,0,0:0,3,True,2026-09-09T08:45:57.517628+00:00
474b07176fe81075,164894,2,2026-09-09T08:40:30Z,Nacional,Lisboa Green,https://storage-prod.sporty-tech.net/virtual/teams/Nacional.png,https://storage-prod.sporty-tech.net/virtual/teams/Lisboa%20Green.png,0:5,0,5,0:3,5,True,2026-09-09T08:45:57.517628+00:00
7a2be4fa534a03b8,164894,2,2026-09-09T08:40:30Z,Guimaraes,Tondela,https://storage-prod.sporty-tech.net/virtual/teams/Guimaraes.png,https://storage-prod.sporty-tech.net/virtual/teams/Tondela.png,1:0,1,0,1:0,1,True,2026-09-09T08:45:57.517628+00:00
ae6092c94ebe8e7b,164894,2,2026-09-09T08:40:30Z,Moreirense,Lisboa Red,https://storage-prod.sporty-tech.net/virtual/teams/Moreirense.png,https://storage-prod.sporty-tech.net/virtual/teams/Lisboa%20Red.png,0:3,0,3,0:0,3,True,2026-09-09T08:45:57.517628+00:00
a8ff5e3a6ac90712,164894,2,2026-09-09T08:40:30Z,Gil Vicente,AFS,https://storage-prod.sporty-tech.net/virtual/teams/Gil%20Vicente.png,https://storage-prod.sporty-tech.net/virtual/teams/AFS.png,2:1,2,1,1:1,3,True,2026-09-09T08:45:57.517628+00:00
8d8099464bb1ef57,164894,2,2026-09-09T08:40:30Z,Alverca,Santa Clara,https://storage-prod.sporty-tech.net/virtual/teams/Alverca.png,https://storage-prod.sporty-tech.net/virtual/teams/Santa%20Clara.png,3:1,3,1,2:0,4,True,2026-09-09T08:45:57.517628+00:00
